,1,2,3,4
A,0.0,0.17869758895131085,0.25772406433683875,0.3518431813603706
An,240.0,356.0,281.0,53.0
B,0.0,0.15076622766122766,0.29663131313131313,0.4897045019157088
Bn,325.0,396.0,180.0,29.0
C,0.0,0.20214872925532823,0.28906113765303076,0.42353655462184875
Cn,297.0,394.0,204.0,35.0
D,0.0,0.1725045731280942,0.252278929513758,0.3597256493506494
Dn,283.0,379.0,224.0,44.0
E,0.0,0.15339837556706226,0.2581999025087742,0.3760616414307659
En,278.0,314.0,245.0,93.0
F,0.0,0.17914337552742615,0.2613863943953507,0.3546426679907316
Fn,200.0,237.0,265.0,228.0
