,1,2,3,4
A,0.0,0.1792776872205663,0.25795952462795213,0.3518431813603706
An,244.0,352.0,281.0,53.0
B,0.0,0.15354254385964913,0.29821670832108205,0.4899539587748025
Bn,342.0,380.0,179.0,29.0
C,0.0,0.20214872925532823,0.28906113765303076,0.42353655462184875
Cn,297.0,394.0,204.0,35.0
D,0.0,0.17439985918841322,0.25348593832838107,0.3600068387494858
Dn,298.0,367.0,221.0,44.0
E,0.0,0.1526978021978022,0.2578734693877551,0.3760616414307659
En,273.0,319.0,245.0,93.0
F,0.0,0.17914337552742615,0.2613863943953507,0.3546426679907315
Fn,200.0,237.0,265.0,228.0
